Make,Model,Software,HostComputer,LensSpecification,LensMake,LensModel
Apple,iPhone 6s Plus,9.0,,4.15mm f/2.2,Apple,iPhone 6s Plus back camera 4.15mm f/2.2
Apple,iPhone 7,10.0.2,,3.99mm f/1.8,Apple,iPhone 7 back camera 3.99mm f/1.8
Apple,iPhone 7 Plus,Photos 2.0,,3.99-6.6mm f/1.8-2.8,Apple,iPhone 7 Plus back iSight Duo camera 3.99mm f/1.8
Apple,iPhone 8,11.0,,3.99mm f/1.8,Apple,iPhone 8 back camera 3.99mm f/1.8
Apple,iPhone 8 Plus,ProCam 10.0.3,,6.6mm f/2.8,Apple,iPhone 8 Plus back camera 6.6mm f/2.8
Apple,iPhone SE,9.3.1,,4.15mm f/2.2,Apple,iPhone SE back camera 4.15mm f/2.2
Apple,iPhone X,11.1,,4-6mm f/1.8-2.4,Apple,iPhone X back dual camera 4mm f/1.8
Apple,iPhone XR,12.0,,4.25mm f/1.8,Apple,iPhone XR back camera 4.25mm f/1.8
Apple,iPhone XS,12.0,,4.25-6mm f/1.8-2.4,Apple,iPhone XS back dual camera 6mm f/2.4
Apple,iPod touch,4.1,,,,
Apple,iPod touch,6.0,,,,
Apple,iPod touch,Photos 1.1,,3.3mm f/2.4,Apple,iPod touch back camera 3.3mm f/2.4
,,,,,,
,,,,,,
Apple,QT-200,,,,,
asus,ASUS_Z01KDA,WW_14.1060.1708.70_20170928,,,,
BBK Imaging Co.,DP1050,Version Ver 1.057,,,,
BBK Imaging Co.,DP1250,Version Ver 1.02,,,,
BBK Imaging Co.,DP710,Version Ver 1.052,,,,
BBK Imaging Co.,DP810,Version Ver 1.052,,,,
BBK Imaging Co.,DP830,Version Ver 1.00,,,,
BenQ,C1050,00.01.0572b,,,,
BenQ,C640,00.01.0327B,,,,
BenQ,C740i,00.01.0573,,,,
BenQ,C745,00.01.0561,,,,
BenQ,DC C1000,ACD Systems Digital Imaging,,,,
BenQ Corporation,DC C1020,0.9000,,,,
BenQ Corporation,DC C1060,0.7800,,,,
BenQ Corporation,DC C1220,Ver 922,,,,
BenQ Corporation,DC C1230,1.1700,,,,
BenQ,DC C420,V1.06BQ,,,,
BenQ,DC C500,Ver 1.23B_H_T9,,,,
BenQ,DC C510,0.00.097BQ,,,,
BenQ,DC C520,V0.09,,,,
BenQ,DC C530,V0.28B,,,,
BenQ,DC C540,00.00.1219a,,,,
BenQ,DC C610,1.00.015BQ,,,,
BenQ,DC C630,V0.28TB,,,,
BenQ,DC C700,1.00.000BQ,,,,
BenQ,DC C740,00.00.1186,,,,
BenQ,DC C750,1.2001,,,,
BenQ,DC C800,"  1.0",,,,
BenQ,DC C840,1.3700,,,,
BenQ,DC C850,1.1800,,,,
BenQ,DC E1000,00.01.0880,,,,
BenQ,DC E1020,Version 1.1600,,,,
BenQ Corporation,DC E1050,0.56.00,,,,
BenQ Corporation,DC E1050t,0.61.00,,,,
BenQ Corporation,DC E1220,0.53.00.00,,,,
BenQ Corporation,DC E1230,1.0900,,,,
BenQ Corporation,DC E1260,1.4300,,,,
BenQ,DC E300,887CVer2.00B,,,,
BenQ,DC E310,Ver 3.00B,,,,
BenQ,DC E520+,VER. 103,,,,
BenQ,DC E600,V06.03.10,,,,
BenQ,DC E605,V07.02.07,,,,
BenQ,DC E610,101.04.00,,,,
BenQ,DC E63+,V0.36.1,,,,
BenQ,DC E720,0.0096,,,,
BenQ,DC E800,Version 1.0010,,,,
BenQ,DC E820,1.2000,,,,
BenQ,DC P500,VER. 103,,,,
BenQ,DC P860,V1.00,,,,
BenQ Corporation,DC T1260,1.4300,,,,
BenQ Corporation,BenQ DC T700,V  101.15.00,,,,
BenQ Corporation,BenQ DC T800,V  101.19.00,,,,
BenQ Corporation,DC T850,000.52.00,,,,
BenQ,DC X720,101.08.00,,,,
BenQ Corporation,BenQ DC X725,00.30-PCBA,,,,
BenQ Corporation,BenQ DC X735,101.06.00,,,,
BenQ Corporation,BenQ DC X800,101.13.00,,,,
BenQ Corporation,BenQ DC X835,101.11.00,,,,
BENQ,BENQ DC2300,ACD Systems Digital Imaging,,,,
BenQ Corporation,DV M1,BQ V0.a906,,,,
BenQ,E53+,0.972BQE,,,,
BenQ_E72,BenQ_E72,Emuzed,,,,
BenQ-Siemens,E81,MerB1A_0.28*,,,,
BenQ-Siemens,EF 81,KE_1433_15.0.1,,,,
BenQ,G1,V1.12,,,,
BenQ Corporation,GH20X,Microsoft Windows Photo Viewer 6.1.7600.16385,,,,
BenQ Corporation,GH700,V0.8300,,,,
BenQ Corporation,LM100,1.0600,,,,
BenQ,UlyC2A 1.291,,,,,
BenQ-Siemens,S81,UlyB1A,,,,
BenQ-Siemens,S88,,,,,
BENQ,3310,01000301,,,,
BenQ,DC C50,Ver 0.21 SH,,,,
BenQ,DC C500,Ver 1.20B,,,,
BenQ,DC C60,899Ver1.04B,,,,
BenQ,DC E30,899Ver1.07B,,,,
BenQ,DC E300,887CVer2.00B,,,,
,DSC,V1016,,,,
BenQ,DC E43,Ver 1.16,,,,
BenQ,DC E53,Ver 1.11,,,,
BenQ,DC X600,v1001,,,,
,,,,,,
BenQ,DC1500,V1.0.3.1,,,,
BENQ,DC 2110,,,,,
BENQ,BENQ DC2300,,,,,
BENQ,BENQ DC2310,,,,,
BENQ,BENQ DC2410,,,,,
Camera,DC-4330,DC-4330  Ver1.03,,,,
CAMERA,CAMERA,990Ver1.54TCM,,,,
CAMERA,10MP-9KA,Ver 1.01,,,,
CAMERA,10MP-9KB,Ver 1.06,,,,
